Town,sq_mtrs,Bedrooms,Bathrooms,Price
Dagoretti,3.0,3.0,2.0,110000.0
Dagoretti,3.0,3.0,3.0,110000.0
Dagoretti,3.0,3.0,3.0,110000.0
Dagoretti,3.0,3.0,2.0,110000.0
Dagoretti,2500.0,3.0,3.0,110000.0
Dagoretti,220.0,3.0,3.0,110000.0
Dagoretti,90.0,1.0,1.0,110000.0
Dagoretti,160.0,3.0,4.0,100000.0
Dagoretti,3.0,3.0,2.0,100000.0
Dagoretti,3.0,3.0,2.0,100000.0
Dagoretti,3.0,3.0,4.0,100000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,4.0,4.0,4.0,100000.0
Dagoretti,3.0,3.0,2.0,100000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,4.0,4.0,4.0,100000.0
Dagoretti,150.0,3.0,4.0,110000.0
Dagoretti,2.0,2.0,2.0,100000.0
Dagoretti,1.0,1.0,1.0,100000.0
Dagoretti,2.0,2.0,2.0,105000.0
Dagoretti,2.0,2.0,2.0,95000.0
Dagoretti,186.0,3.0,2.0,95000.0
Dagoretti,2.0,2.0,2.0,95000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,3.0,3.0,3.0,95000.0
Dagoretti,260.0,3.0,4.0,100000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,3.0,3.0,3.0,90000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,86.0,1.0,2.0,105000.0
Dagoretti,2.0,2.0,2.0,90000.0
Dagoretti,3.0,3.0,4.0,100000.0
Dagoretti,186.0,4.0,4.0,100000.0
Dagoretti,3.0,3.0,2.0,100000.0
Dagoretti,4.0,4.0,4.0,100000.0
Dagoretti,2.0,2.0,2.0,100000.0
Dagoretti,3.0,3.0,3.0,110000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,2.0,2.0,2.0,100000.0
Dagoretti,2.0,2.0,2.0,100000.0
Dagoretti,1.0,1.0,1.0,100000.0
Dagoretti,3.0,3.0,4.0,100000.0
Dagoretti,3.0,3.0,3.0,100000.0
Dagoretti,3.0,3.0,3.0,110000.0
Dagoretti,3.0,3.0,2.0,95000.0
Dagoretti,1.0,1.0,1.0,100000.0
Dagoretti,14.0,2.0,3.0,100000.0
Dagoretti,2024.0,3.0,3.0,85000.0
Dagoretti,2.0,2.0,2.0,85000.0
Dagoretti,3.0,3.0,2.0,85000.0
Dagoretti,2.0,2.0,2.0,85000.0
Dagoretti,3.0,3.0,2.0,85000.0
Dagoretti,2.0,2.0,2.0,85000.0
Dagoretti,2.0,2.0,2.0,85000.0
Dagoretti,2.0,2.0,2.0,85000.0
Dagoretti,3.0,3.0,4.0,85000.0
Dagoretti,3.0,3.0,3.0,85000.0
Dagoretti,3.0,3.0,2.0,85000.0
Dagoretti,1.0,1.0,1.0,85000.0
Dagoretti,3.0,3.0,3.0,85000.0
Dagoretti,1.0,1.0,1.0,85000.0
Dagoretti,3.0,3.0,4.0,85000.0
Dagoretti,2.0,2.0,2.0,85000.0
Dagoretti,2.0,2.0,2.0,85000.0
Dagoretti,3.0,3.0,3.0,85000.0
Dagoretti,3.0,3.0,4.0,85000.0
Dagoretti,3.0,3.0,3.0,85000.0
Dagoretti,2023.0,3.0,3.0,85000.0
